seed,policy_name,transactions_total,transactions_eligible,transactions_stopped,retry_attempts,recoveries,recovery_rate_pct,gross_recovered_revenue,total_retry_cost,net_revenue,net_revenue_per_transaction,net_revenue_per_eligible_transaction,average_attempts_per_transaction,evaluation_version,configuration_hash,arm_count_1hr,arm_count_6hr,arm_count_1d,arm_count_3d,arm_count_7d
42,Fixed Schedule,3000,3000,0,7609,2028,67.6,8783979.33,76090.0,8707889.33,2902.63,2902.63,2.54,Phase1_v1.0,0580358a30ba,0,0,3000,2064,2545
42,Best Static Arm,3000,3000,0,7082,2135,71.17,9293538.15,70820.0,9222718.15,3074.24,3074.24,2.36,Phase1_v1.0,0580358a30ba,0,0,0,7082,0
42,Contextual Heuristic,3000,3000,0,6315,2306,76.87,9337617.14,63150.0,9274467.14,3091.49,3091.49,2.1,Phase1_v1.0,0580358a30ba,960,806,1597,2952,0
42,RecoverFlow LinUCB,3000,3000,0,6388,2309,76.97,9402444.07,63880.0,9338564.07,3112.85,3112.85,2.13,Phase1_v1.0,0580358a30ba,233,2934,60,170,2991
42,Oracle Upper Bound,3000,2755,245,5699,2398,87.04,9807121.75,56990.0,9750131.75,3250.04,3539.07,2.07,Phase1_v1.0,0580358a30ba,947,278,2071,2403,0
101,Fixed Schedule,3000,3000,0,7656,1996,66.53,8738590.31,76560.0,8662030.31,2887.34,2887.34,2.55,Phase1_v1.0,0580358a30ba,0,0,3000,2078,2578
101,Best Static Arm,3000,3000,0,7237,2077,69.23,9163998.81,72370.0,9091628.81,3030.54,3030.54,2.41,Phase1_v1.0,0580358a30ba,0,0,0,7237,0
101,Contextual Heuristic,3000,3000,0,6369,2310,77.0,9308039.58,63690.0,9244349.58,3081.45,3081.45,2.12,Phase1_v1.0,0580358a30ba,968,812,1665,2924,0
101,RecoverFlow LinUCB,3000,3000,0,6215,2341,78.03,9523064.58,62150.0,9460914.58,3153.64,3153.64,2.07,Phase1_v1.0,0580358a30ba,567,1495,1353,1822,978
101,Oracle Upper Bound,3000,2760,240,5708,2407,87.21,9836931.51,57080.0,9779851.51,3259.95,3543.42,2.07,Phase1_v1.0,0580358a30ba,968,340,2004,2396,0
2026,Fixed Schedule,3000,3000,0,7657,2005,66.83,9038308.67,76570.0,8961738.67,2987.25,2987.25,2.55,Phase1_v1.0,0580358a30ba,0,0,3000,2083,2574
2026,Best Static Arm,3000,3000,0,7121,2109,70.3,9546785.34,71210.0,9475575.34,3158.53,3158.53,2.37,Phase1_v1.0,0580358a30ba,0,0,0,7121,0
2026,Contextual Heuristic,3000,3000,0,6361,2283,76.1,9525538.59,63610.0,9461928.59,3153.98,3153.98,2.12,Phase1_v1.0,0580358a30ba,940,813,1622,2986,0
2026,RecoverFlow LinUCB,3000,3000,0,6063,2289,76.3,9609334.15,60630.0,9548704.15,3182.9,3182.9,2.02,Phase1_v1.0,0580358a30ba,772,2201,486,2431,173
2026,Oracle Upper Bound,3000,2741,259,5711,2388,87.12,10045831.27,57110.0,9988721.27,3329.57,3644.19,2.08,Phase1_v1.0,0580358a30ba,902,283,2084,2442,0
301,Fixed Schedule,3000,3000,0,7645,1974,65.8,8690844.38,76450.0,8614394.38,2871.46,2871.46,2.55,Phase1_v1.0,0580358a30ba,0,0,3000,2097,2548
301,Best Static Arm,3000,3000,0,7279,2068,68.93,9215846.04,72790.0,9143056.04,3047.69,3047.69,2.43,Phase1_v1.0,0580358a30ba,0,0,0,7279,0
301,Contextual Heuristic,3000,3000,0,6434,2258,75.27,9095647.67,64340.0,9031307.67,3010.44,3010.44,2.14,Phase1_v1.0,0580358a30ba,985,801,1685,2963,0
