tx_index,tx_id,amount,failure_code,raw_arm,top_score,second_score,abs_gap,rel_gap,confidence,ambiguity_tier,bal_arm,cons_arm,bal_override,cons_override,disagree,bal_influence_ratio,cons_influence_ratio
0,tx_25459a9ed8,933.66,card_expired,1d,379.5451888398567,-8.432915761392694,387.9781,1.022218,1.0,STRONGLY_DOMINANT,1d,1d,False,False,False,0.0,0.0
1,tx_19838cdecd,1203.47,insufficient_funds,7d,1446.2345840458333,1302.8008618128326,143.4337,0.099177,0.3967,CLEAR_WINNER,1d,1d,True,True,False,1.5512,4.836
2,tx_b9be2e6ad1,7627.47,insufficient_funds,7d,1991.6820996956167,1108.7165756291063,882.9655,0.443327,1.0,STRONGLY_DOMINANT,7d,7d,False,False,False,0.0,0.0
3,tx_d6dad658b6,2344.38,issuer_timeout,1hr,992.9332168888427,762.7188611093493,230.2144,0.231853,0.9274,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0658,0.2082
4,tx_9931d465bb,1245.62,generic_decline,1d,1517.3335517650357,388.87847587980775,1128.4551,0.743709,1.0,STRONGLY_DOMINANT,1d,1d,False,False,False,0.0,0.0
5,tx_8f38b9f497,1869.81,generic_decline,1d,1144.6300851464207,-8.837610010606761,1153.4677,1.007721,1.0,STRONGLY_DOMINANT,1d,1d,False,False,False,0.0,0.0
6,tx_a98e18a5aa,4185.73,issuer_timeout,1hr,819.0879145608958,600.9677817753708,218.1201,0.266296,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
7,tx_edea5d17a2,10506.6,insufficient_funds,7d,1846.5879147826909,626.3002886670255,1220.2876,0.660834,1.0,STRONGLY_DOMINANT,7d,7d,False,False,False,0.0,0.0
8,tx_683ba56cb3,2293.38,issuer_timeout,1hr,1309.390749229796,-6.980178043304642,1316.3709,1.005331,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
9,tx_1abd5be83a,8091.95,insufficient_funds,7d,2059.0812059094687,424.21867108431735,1634.8625,0.793977,1.0,STRONGLY_DOMINANT,7d,7d,False,False,False,0.0,0.0
10,tx_ee6344e778,893.42,generic_decline,1hr,424.29646026396534,378.49705699332367,45.7994,0.107942,0.4318,CLEAR_WINNER,1hr,1d,False,True,True,1.1054,3.5005
11,tx_33437cf3ed,2674.75,issuer_timeout,1hr,1493.5971993788278,4.788548374259579,1488.8087,0.996794,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
12,tx_19628fd9b3,1576.99,insufficient_funds,7d,2578.23981940678,946.9649257647817,1631.2749,0.632709,1.0,STRONGLY_DOMINANT,7d,7d,False,False,False,0.0,0.0
13,tx_f64f8ee1b4,1228.99,issuer_timeout,1hr,1185.4765036713072,879.5476089729974,305.9289,0.258064,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
14,tx_eff65e73d0,1153.81,issuer_timeout,1hr,1369.6297801519831,667.0650844500441,702.5647,0.51296,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
15,tx_4ee0142f2e,531.7,card_expired,1hr,441.0873944544734,-9.17217232427568,450.2596,1.020795,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
16,tx_259a36dbc4,1403.88,issuer_timeout,1hr,634.9252302203886,398.87950107038705,236.0457,0.371769,1.0,STRONGLY_DOMINANT,1hr,1hr,False,False,False,0.0,0.0
17,tx_19a6e6e6e2,15797.68,insufficient_funds,7d,2179.5703558304317,671.0501445390637,1508.5202,0.692118,1.0,STRONGLY_DOMINANT,7d,7d,False,False,False,0.0,0.0
18,tx_ef8c8e2e9e,1223.08,generic_decline,1d,767.0169006066409,211.04278662089052,555.9741,0.724852,1.0,STRONGLY_DOMINANT,1d,1d,False,False,False,0.0,0.0
19,tx_f0a89cb0ab,2147.11,insufficient_funds,1d,1424.5542721276206,956.8108710907079,467.7434,0.328344,1.0,STRONGLY_DOMINANT,1d,1d,False,False,False,0.0,0.0
